,Well,Vol/µl,[prot]/µM,No.concs,Power,index,0
0,A1,10,2,4,4,0,0.0
1,B1,10,2,4,4,1,7.5
2,C1,10,2,4,4,2,100.0
3,D1,10,2,4,4,3,500.0
4,E1,10,2,12,4,0,0.0
5,F1,10,2,12,4,1,2.5
6,G1,10,2,12,4,2,2.5
7,H1,10,2,12,4,3,5.0
8,I1,10,2,12,4,4,10.0
9,J1,10,2,12,4,5,22.5
10,K1,10,2,12,4,6,45.0
11,L1,10,2,12,4,7,82.5
12,M1,10,2,12,4,8,140.0
13,N1,10,2,12,4,9,225.0
14,O1,10,2,12,4,10,342.5
15,P1,10,2,12,4,11,500.0
16,A2,10,2,12,1,0,0.0
17,B2,10,2,12,1,1,47.5
18,C2,10,2,12,1,2,92.5
19,D2,10,2,12,1,3,137.5
20,E2,10,2,12,1,4,182.5
21,F2,10,2,12,1,5,227.5
22,G2,10,2,12,1,6,275.0
23,H2,10,2,12,1,7,320.0
24,I2,10,2,12,1,8,365.0
25,J2,10,2,12,1,9,410.0
26,K2,10,2,12,1,10,455.0
27,L2,10,2,12,1,11,500.0
28,M2,10,2,4,1,0,0.0
29,N2,10,2,4,1,1,167.5
30,O2,10,2,4,1,2,335.0
31,P2,10,2,4,1,3,500.0
32,A3,10,2,4,4,0,0.0
33,B3,10,2,4,4,1,7.5
34,C3,10,2,4,4,2,100.0
35,D3,10,2,4,4,3,500.0
36,E3,10,2,12,4,0,0.0
37,F3,10,2,12,4,1,2.5
38,G3,10,2,12,4,2,2.5
39,H3,10,2,12,4,3,5.0
40,I3,10,2,12,4,4,10.0
41,J3,10,2,12,4,5,22.5
42,K3,10,2,12,4,6,45.0
43,L3,10,2,12,4,7,82.5
44,M3,10,2,12,4,8,140.0
45,N3,10,2,12,4,9,225.0
46,O3,10,2,12,4,10,342.5
47,P3,10,2,12,4,11,500.0
48,A4,10,2,12,1,0,0.0
49,B4,10,2,12,1,1,47.5
50,C4,10,2,12,1,2,92.5
51,D4,10,2,12,1,3,137.5
52,E4,10,2,12,1,4,182.5
53,F4,10,2,12,1,5,227.5
54,G4,10,2,12,1,6,275.0
55,H4,10,2,12,1,7,320.0
56,I4,10,2,12,1,8,365.0
57,J4,10,2,12,1,9,410.0
58,K4,10,2,12,1,10,455.0
59,L4,10,2,12,1,11,500.0
60,M4,10,2,4,1,0,0.0
61,N4,10,2,4,1,1,167.5
62,O4,10,2,4,1,2,335.0
63,P4,10,2,4,1,3,500.0
64,A5,10,2,4,4,0,0.0
65,B5,10,2,4,4,1,7.5
66,C5,10,2,4,4,2,100.0
67,D5,10,2,4,4,3,500.0
68,E5,10,2,12,4,0,0.0
69,F5,10,2,12,4,1,2.5
70,G5,10,2,12,4,2,2.5
71,H5,10,2,12,4,3,5.0
72,I5,10,2,12,4,4,10.0
73,J5,10,2,12,4,5,22.5
74,K5,10,2,12,4,6,45.0
75,L5,10,2,12,4,7,82.5
76,M5,10,2,12,4,8,140.0
77,N5,10,2,12,4,9,225.0
78,O5,10,2,12,4,10,342.5
79,P5,10,2,12,4,11,500.0
80,A6,10,2,12,1,0,0.0
81,B6,10,2,12,1,1,47.5
82,C6,10,2,12,1,2,92.5
83,D6,10,2,12,1,3,137.5
84,E6,10,2,12,1,4,182.5
85,F6,10,2,12,1,5,227.5
86,G6,10,2,12,1,6,275.0
87,H6,10,2,12,1,7,320.0
88,I6,10,2,12,1,8,365.0
89,J6,10,2,12,1,9,410.0
90,K6,10,2,12,1,10,455.0
91,L6,10,2,12,1,11,500.0
92,M6,10,2,4,1,0,0.0
93,N6,10,2,4,1,1,167.5
94,O6,10,2,4,1,2,335.0
95,P6,10,2,4,1,3,500.0
96,A7,10,10,4,1,0,0.0
97,B7,10,10,4,1,1,167.5
98,C7,10,10,4,1,2,335.0
99,D7,10,10,4,1,3,500.0
100,E7,10,10,4,4,0,0.0
101,F7,10,10,4,4,1,7.5
102,G7,10,10,4,4,2,100.0
103,H7,10,10,4,4,3,500.0
104,I7,10,10,12,1,0,0.0
105,J7,10,10,12,1,1,47.5
106,K7,10,10,12,1,2,92.5
107,L7,10,10,12,1,3,137.5
108,M7,10,10,12,1,4,182.5
109,N7,10,10,12,1,5,227.5
110,O7,10,10,12,1,6,275.0
111,P7,10,10,12,1,7,320.0
112,A8,10,10,12,1,8,365.0
113,B8,10,10,12,1,9,410.0
114,C8,10,10,12,1,10,455.0
115,D8,10,10,12,1,11,500.0
116,E8,10,10,12,4,0,0.0
117,F8,10,10,12,4,1,2.5
118,G8,10,10,12,4,2,2.5
119,H8,10,10,12,4,3,5.0
120,I8,10,10,12,4,4,10.0
121,J8,10,10,12,4,5,22.5
122,K8,10,10,12,4,6,45.0
123,L8,10,10,12,4,7,82.5
124,M8,10,10,12,4,8,140.0
125,N8,10,10,12,4,9,225.0
126,O8,10,10,12,4,10,342.5
127,P8,10,10,12,4,11,500.0
128,A9,10,10,4,1,0,0.0
129,B9,10,10,4,1,1,167.5
130,C9,10,10,4,1,2,335.0
131,D9,10,10,4,1,3,500.0
132,E9,10,10,4,4,0,0.0
133,F9,10,10,4,4,1,7.5
134,G9,10,10,4,4,2,100.0
135,H9,10,10,4,4,3,500.0
136,I9,10,10,12,1,0,0.0
137,J9,10,10,12,1,1,47.5
138,K9,10,10,12,1,2,92.5
139,L9,10,10,12,1,3,137.5
