Pattern,Block,Vol/µl,Prot]/µM,No. Concs,Power,StDev
+−−−,1,50,2,6,1,
−−−+,1,20,2,6,4,
0000,1,35,6,9,2.5,
−+++,1,20,10,12,4,
+++−,1,50,10,12,1,
−−+−,1,20,2,12,1,
+−++,1,50,2,12,4,
++−+,1,50,10,6,4,
0000,1,35,6,9,2.5,
0000,1,35,6,9,2.5,
0000,1,35,6,9,2.5,
−+−−,1,20,10,6,1,
++−−,2,50,10,6,1,
−++−,2,20,10,12,1,
0000,2,35,6,9,2.5,
−−−−,2,20,2,6,1,
+−−+,2,50,2,6,4,
++++,2,50,10,12,4,
−−++,2,20,2,12,4,
−+−+,2,20,10,6,4,
0000,2,35,6,9,2.5,
+−+−,2,50,2,12,1,
0000,2,35,6,9,2.5,
0000,2,35,6,9,2.5,
