,Vol/µl,Prot]/µM,No. Concs,Power,Substreate/nl
0,50.0,2.0,6.0,1.0,0.0
1,50.0,2.0,6.0,1.0,500.0
2,50.0,2.0,6.0,1.0,1000.0
3,50.0,2.0,6.0,1.0,1502.5
4,50.0,2.0,6.0,1.0,2000.0
5,50.0,2.0,6.0,1.0,2500.0
6,50.0,2.0,12.0,4.0,0.0
7,50.0,2.0,12.0,4.0,2.5
8,50.0,2.0,12.0,4.0,5.0
9,50.0,2.0,12.0,4.0,15.0
10,50.0,2.0,12.0,4.0,45.0
11,50.0,2.0,12.0,4.0,107.5
12,50.0,2.0,12.0,4.0,222.5
13,50.0,2.0,12.0,4.0,410.0
14,50.0,2.0,12.0,4.0,700.0
15,50.0,2.0,12.0,4.0,1122.5
16,50.0,2.0,12.0,4.0,1710.0
17,50.0,2.0,12.0,4.0,2500.0
18,50.0,2.0,6.0,4.0,0.0
19,50.0,2.0,6.0,4.0,5.0
20,50.0,2.0,6.0,4.0,65.0
21,50.0,2.0,6.0,4.0,325.0
22,50.0,2.0,6.0,4.0,1025.0
23,50.0,2.0,6.0,4.0,2500.0
24,50.0,2.0,12.0,1.0,0.0
25,50.0,2.0,12.0,1.0,227.5
26,50.0,2.0,12.0,1.0,455.0
27,50.0,2.0,12.0,1.0,682.5
28,50.0,2.0,12.0,1.0,910.0
29,50.0,2.0,12.0,1.0,1137.5
30,50.0,2.0,12.0,1.0,1365.0
31,50.0,2.0,12.0,1.0,1592.5
32,50.0,2.0,12.0,1.0,1820.0
33,50.0,2.0,12.0,1.0,2047.5
34,50.0,2.0,12.0,1.0,2275.0
35,50.0,2.0,12.0,1.0,2500.0
36,50.0,2.0,6.0,1.0,0.0
37,50.0,2.0,6.0,1.0,500.0
38,50.0,2.0,6.0,1.0,1000.0
39,50.0,2.0,6.0,1.0,1502.5
40,50.0,2.0,6.0,1.0,2000.0
41,50.0,2.0,6.0,1.0,2500.0
42,50.0,2.0,12.0,4.0,0.0
43,50.0,2.0,12.0,4.0,2.5
44,50.0,2.0,12.0,4.0,5.0
45,50.0,2.0,12.0,4.0,15.0
46,50.0,2.0,12.0,4.0,45.0
47,50.0,2.0,12.0,4.0,107.5
48,50.0,2.0,12.0,4.0,222.5
49,50.0,2.0,12.0,4.0,410.0
50,50.0,2.0,12.0,4.0,700.0
51,50.0,2.0,12.0,4.0,1122.5
52,50.0,2.0,12.0,4.0,1710.0
53,50.0,2.0,12.0,4.0,2500.0
54,50.0,2.0,6.0,4.0,0.0
55,50.0,2.0,6.0,4.0,5.0
56,50.0,2.0,6.0,4.0,65.0
57,50.0,2.0,6.0,4.0,325.0
58,50.0,2.0,6.0,4.0,1025.0
59,50.0,2.0,6.0,4.0,2500.0
60,50.0,2.0,12.0,1.0,0.0
61,50.0,2.0,12.0,1.0,227.5
62,50.0,2.0,12.0,1.0,455.0
63,50.0,2.0,12.0,1.0,682.5
64,50.0,2.0,12.0,1.0,910.0
65,50.0,2.0,12.0,1.0,1137.5
66,50.0,2.0,12.0,1.0,1365.0
67,50.0,2.0,12.0,1.0,1592.5
68,50.0,2.0,12.0,1.0,1820.0
