baseline,,bm3 sample,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,-0.0006846099277,800.0101318,0.004187583923,
798.0673218,0.0005294058356,798.0673218,0.006199462805,
795.9840088,-0.0002941720304,795.9840088,0.006234256085,
794.0380249,0.001132614794,794.0380249,0.006729386281,
791.951355,-9.3593575E-5,791.951355,0.005563929677,
790.0022583,-0.0003254199983,790.0022583,0.003429521341,
788.0516968,-0.0002028468443,788.0516968,0.005038541742,
785.960144,0.0002115916723,785.960144,0.006273989566,
784.0064697,-0.001154273166,784.0064697,0.005323089194,
782.0513306,0.001970294863,782.0513306,0.005936357193,
779.9549561,-0.0006594359875,779.9549561,0.007104025222,
777.9967651,0.0001064561511,777.9967651,0.00478825625,
776.0371094,0.001029487583,776.0371094,0.006562370341,
773.9358521,-0.000812783197,773.9358521,0.00529995095,
771.9731445,0.0001621540869,771.9731445,0.006630493794,
770.0090332,-0.0008445105632,770.0090332,0.005976037122,
768.043396,0.0004377451842,768.043396,0.006863486953,
765.935791,0.0004749824293,765.935791,0.006822279189,
763.9672241,0.0001777694415,763.9672241,0.006652047392,
761.9971924,0.001232755138,761.9971924,0.006666898727,
760.0256958,0.0007078329218,760.0256958,0.00723626744,
758.0527954,-8.283502098E-7,758.0527954,0.007207815535,
755.9373779,0.0004868513206,755.9373779,0.00872948952,
753.9615479,0.001776506659,753.9615479,0.008856362663,
751.9842529,-4.923231972E-5,751.9842529,0.008663597517,
750.0055542,0.000545760151,750.0055542,0.009230911732,
748.0253906,0.0007492162986,748.0253906,0.009243524633,
746.0438843,-0.0002307897375,746.0438843,0.008798375726,
744.0609131,-0.0007972803432,744.0609131,0.008328641765,
741.9347534,0.0008112728246,741.9347534,0.009353011847,
739.9489136,0.0007429411635,739.9489136,0.009297524579,
737.9616699,0.001115226187,737.9616699,0.01009030826,
735.9730225,-0.0006087734946,735.9730225,0.00895674061,
733.9830322,-0.0002117991098,733.9830322,0.008721512742,
731.9915771,0.0002309901465,731.9915771,0.01087241247,
729.9987793,0.0002395630436,729.9987793,0.01017085928,
728.0046387,0.0003456116247,728.0046387,0.01073889993,
726.0090942,0.0008097167592,726.0090942,0.01077745482,
724.012146,-0.0005242367042,724.012146,0.01056343876,
722.013855,0.001042565214,722.013855,0.01178182382,
720.0142212,-0.001250457717,720.0142212,0.01041511912,
718.0131836,-0.0007290613721,718.0131836,0.01119842008,
716.0108643,-0.001006779959,716.0108643,0.01093171258,
714.0071411,-7.014531002E-5,714.0071411,0.01111576706,
712.0020752,0.000764645345,712.0020752,0.01099994034,
709.9956665,0.0002337355254,709.9956665,0.01175461523,
707.987915,-0.0003367493919,707.987915,0.01214024425,
705.9788208,4.141952377E-5,705.9788208,0.01196685154,
703.9684448,-0.0006290391902,703.9684448,0.01230579801,
701.956665,0.0002892425691,701.956665,0.01215653587,
699.9436035,0.000361881248,699.9436035,0.01298848726,
697.9292603,-0.0008569631609,697.9292603,0.01232867409,
696.0575562,-0.0007075081812,696.0575562,0.01206691377,
694.0406494,0.0003183069348,694.0406494,0.01299936883,
692.0223999,0.0001087864657,692.0223999,0.01236036606,
690.0028687,7.543826359E-5,690.0028687,0.01349474676,
687.9819946,-0.0003923058102,687.9819946,0.01342380233,
685.9598389,0.0002946822788,685.9598389,0.01333709434,
683.9364624,2.122701335E-5,683.9364624,0.013470768,
682.0563965,0.0002145700128,682.0563965,0.01418476459,
680.0304565,0.00022407496,680.0304565,0.01374887303,
678.0032349,-0.0003754947975,678.0032349,0.01392950118,
675.9747314,-0.0002456401417,675.9747314,0.01434259117,
673.9450073,-0.001074490603,673.9450073,0.01348791085,
672.059082,-0.0007176905056,672.059082,0.01346694957,
670.0268555,-0.0002057964593,670.0268555,0.01445058826,
667.9934082,-0.0006286773132,667.9934082,0.01452076342,
665.9586792,0.0006631609867,665.9586792,0.01567503251,
664.0681152,-0.00043363226,664.0681152,0.01454977877,
662.0310059,-0.000863111869,662.0310059,0.01422279794,
659.9925537,-0.0006591257988,659.9925537,0.01506453566,
657.9529419,0.0003543422208,657.9529419,0.01612508483,
656.0578613,0.0004826790246,656.0578613,0.01529000606,
654.0158081,-0.0005459024687,654.0158081,0.01472559944,
651.9725342,0.0008636893472,651.9725342,0.01604758576,
649.9280396,-0.0003257303906,649.9280396,0.01538627781,
648.0284424,-6.574538565E-5,648.0284424,0.01472908072,
645.9815674,-0.000905065157,645.9815674,0.01379432343,
643.9334717,-8.841746603E-5,643.9334717,0.01526710764,
642.0306396,-7.723685849E-5,642.0306396,0.01552401762,
639.9801636,-9.364533616E-5,639.9801636,0.01464958116,
637.9285278,-0.0001266674517,637.9285278,0.01575165987,
