baseline,,bm3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,0.001476817532,800.0101318,0.00791081693,
799.0389404,-0.00147836539,799.0389404,0.004884190857,
798.0673218,0.001051206025,798.0673218,0.008398784325,
796.9564209,0.001155402628,796.9564209,0.007367023267,
795.9840088,-7.024883962E-5,795.9840088,0.006525553297,
795.0111694,0.0006773424684,795.0111694,0.007935755886,
794.0380249,0.001002217643,794.0380249,0.00749365706,
793.0644531,-0.0006029831129,793.0644531,0.007584922481,
791.951355,-0.0009502173052,791.951355,0.005885030143,
790.9769897,0.0007136149798,790.9769897,0.008703949861,
790.0022583,-0.0002100914717,790.0022583,0.007518571801,
789.0271606,-9.111765394E-6,789.0271606,0.007437195163,
788.0516968,0.000631429255,788.0516968,0.007096210495,
786.9364014,-0.001183858723,786.9364014,0.005649414379,
785.960144,-0.0004842117487,785.960144,0.007831159048,
784.9835205,-0.0003002769372,784.9835205,0.006113685668,
784.0064697,-0.001875782269,784.0064697,0.008363315836,
783.0291138,-0.0006412912044,783.0291138,0.006209651008,
782.0513306,0.001266997191,782.0513306,0.01028044801,
780.9334717,-0.0009220106876,780.9334717,0.007359440438,
779.9549561,-0.001604808727,779.9549561,0.006514595821,
778.9760132,0.001738793799,778.9760132,0.01000171993,
777.9967651,-0.000696963747,777.9967651,0.007998399436,
777.0170898,0.001555448398,777.0170898,0.008005729876,
776.0371094,0.0003994229191,776.0371094,0.007637029979,
775.0567017,0.0005162140005,775.0567017,0.009033328854,
773.9358521,-0.001660254784,773.9358521,0.007830236107,
772.9547119,0.0009808389004,772.9547119,0.008781734854,
771.9731445,-0.0002159388241,771.9731445,0.006919374224,
770.991272,-0.0002684580395,770.991272,0.00940170791,
770.0090332,-0.0004653873621,770.0090332,0.007217974868,
769.0264282,0.0003083595657,769.0264282,0.007403595373,
768.043396,-0.001043554628,768.043396,0.008118729107,
767.0600586,-0.0004042024375,767.0600586,0.007072845474,
765.935791,0.0001229239715,765.935791,0.009334814735,
764.9517212,-0.0008381032385,764.9517212,0.007810864132,
763.9672241,0.001348654041,763.9672241,0.01080186944,
762.9823608,-0.0009426233592,762.9823608,0.00866357144,
761.9971924,0.0005117045366,761.9971924,0.008503148332,
761.0116577,-0.0008605283801,761.0116577,0.008608039469,
760.0256958,0.0001225096785,760.0256958,0.008723335341,
759.0394287,-5.477125524E-5,759.0394287,0.008372947574,
758.0527954,-0.0002598173742,758.0527954,0.008816048503,
757.0657959,-0.001282307901,757.0657959,0.008165942505,
755.9373779,0.0005249739625,755.9373779,0.008509906009,
754.949646,0.0009807092138,754.949646,0.00857355725,
753.9615479,-0.0002918438695,753.9615479,0.008354527876,
752.9730835,-0.0006593842991,752.9730835,0.009490967728,
751.9842529,0.0007312985836,751.9842529,0.008663941175,
750.9950562,4.273983723E-5,750.9950562,0.009194264188,
750.0055542,-0.002360328333,750.0055542,0.008477305993,
749.015625,0.0009963021148,749.015625,0.009763622656,
748.0253906,-0.001780251856,748.0253906,0.009115374647,
747.03479,0.001140452805,747.03479,0.01001276635,
746.0438843,-0.0002388617868,746.0438843,0.009531873278,
745.0525513,-0.001206988818,745.0525513,0.009366078302,
744.0609131,-0.0002124200691,744.0609131,0.009627538733,
743.0689087,-0.001019176329,743.0689087,0.009524993598,
741.9347534,-0.0008710171678,741.9347534,0.009830501862,
740.9420166,0.0005779261701,740.9420166,0.01043882407,
739.9489136,-0.000139865253,739.9489136,0.0107515296,
738.9554443,-0.0002567129268,738.9554443,0.008827777579,
737.9616699,0.0001478599297,737.9616699,0.009871333838,
