baseline,,bm3_none,,bm3_none1,,lauricacid_10mM_ul05,,lauricacid_10mM_ul5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0001221,-0.0001487153058,800.0001221,0.1266788542,800.0001221,0.002488935599,800.0001221,0.8420436382,800.0001221,1.65684104,
799.0285034,-0.0008378965431,799.0285034,0.130657196,799.0285034,0.002310946584,799.0285034,0.8265644908,799.0285034,1.602130651,
798.0564575,0.0005419760128,798.0564575,0.1242944449,798.0564575,0.002618946601,798.0564575,0.835919857,798.0564575,1.620867133,
796.9451294,0.0001806439686,796.9451294,0.13538903,796.9451294,0.00245043193,796.9451294,0.8326017261,796.9451294,1.622049689,
795.9723511,-0.0004451140121,795.9723511,0.1324468553,795.9723511,0.001535367221,795.9723511,0.797816515,795.9723511,1.613604069,
794.9991455,-0.0008025513962,794.9991455,0.1274499446,794.9991455,0.002022669418,794.9991455,0.8233989477,794.9991455,1.633208632,
794.0255737,0.0006798054674,794.0255737,0.136102125,794.0255737,0.002990550362,794.0255737,0.82880193,794.0255737,1.629260063,
793.0516357,0.0002059976105,793.0516357,0.1403932273,793.0516357,0.003186054528,793.0516357,0.8295098543,793.0516357,1.68307054,
791.9381104,0.0002521248534,791.9381104,0.1230865642,791.9381104,0.00231125881,791.9381104,0.8288737535,791.9381104,1.648755789,
790.9633789,-0.0005929014878,790.9633789,0.1323435605,790.9633789,0.003000976285,790.9633789,0.824219048,790.9633789,1.611811042,
789.9882202,0.0005369479186,789.9882202,0.1302132756,789.9882202,0.003401213326,789.9882202,0.8430005908,789.9882202,1.623173833,
789.0127563,0.0004532408784,789.0127563,0.1296912581,789.0127563,0.002962531522,789.0127563,0.850356102,789.0127563,1.6579808,
788.0368652,-1.542776226E-5,788.0368652,0.1383773983,788.0368652,0.003042865545,788.0368652,0.8552564979,788.0368652,1.661897063,
787.0606689,-9.913194663E-5,787.0606689,0.134898439,787.0606689,0.002775047673,787.0606689,0.8377377987,787.0606689,1.626920938,
785.944458,0.0008906911244,785.944458,0.1380467713,785.944458,0.003229369875,785.944458,0.8464260101,785.944458,1.621788263,
784.9674683,-5.430536476E-5,784.9674683,0.1341248453,784.9674683,0.002372784074,784.9674683,0.8160770535,784.9674683,1.602765322,
783.9900513,-0.0003975817526,783.9900513,0.1354050487,783.9900513,0.001332399319,783.9900513,0.8290787935,783.9900513,1.634619832,
783.0122681,1.612725828E-5,783.0122681,0.1330466717,783.0122681,0.001745655201,783.0122681,0.82177037,783.0122681,1.604995728,
782.0341187,0.0008273783606,782.0341187,0.1325777322,782.0341187,0.001903626486,782.0341187,0.8330330253,782.0341187,1.660839438,
781.055603,-0.0002837727952,781.055603,0.1381388754,781.055603,0.004068155307,781.055603,0.8259652257,781.055603,1.639965653,
779.9368896,7.610541161E-6,779.9368896,0.1371391416,779.9368896,0.00311750453,779.9368896,0.8403736353,779.9368896,1.657921314,
778.9575806,-0.00131224608,778.9575806,0.1334785372,778.9575806,0.002124836203,778.9575806,0.8130602241,778.9575806,1.616372466,
777.9779053,0.0004884580849,777.9779053,0.1360115856,777.9779053,0.002266369527,777.9779053,0.8415689468,777.9779053,1.661598802,
776.9978638,-0.001490748255,776.9978638,0.1375376731,776.9978638,0.002170205116,776.9978638,0.8472708464,776.9978638,1.648816109,
776.0174561,0.001167653478,776.0174561,0.141056776,776.0174561,0.003335394664,776.0174561,0.8637705445,776.0174561,1.645537615,
775.0366821,0.001196958474,775.0366821,0.1361436397,775.0366821,0.004330392461,775.0366821,0.8481160402,775.0366821,1.64820528,
