baseline,,bm3,,bm4,,bm5,,bm3_Prediluted,,bm3_Prediluted_10mMLauric_ul_05,,bm3_Prediluted_10mMLauric_ul_10,,bm3_Prediluted_10mMLauric_ul_20,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_120,,bm3_Prediluted_10mMLauric_ul_170,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0001221,0.0002921437263,800.0001221,0.01934839785,800.0001221,0.01491140295,800.0001221,0.002995215822,800.0001221,0.002249612007,800.0001221,0.002726932289,800.0001221,0.002811730141,800.0001221,0.009497794323,800.0001221,0.1292149872,800.0001221,0.259685725,800.0001221,0.02019734681,800.0001221,0.02437950112,800.0001221,0.03463402018,800.0001221,0.007224423345,800.0001221,0.1565566063,800.0001221,0.2633870542,800.0001221,0.1110641062,800.0001221,0.2306938618,
799.0285034,0.001154234633,799.0285034,0.02049488015,799.0285034,0.01732196473,799.0285034,0.004618531559,799.0285034,0.003705001203,799.0285034,0.003834384494,799.0285034,0.004559931345,799.0285034,0.01041238848,799.0285034,0.1304752678,799.0285034,0.2588674724,799.0285034,0.01995573565,799.0285034,0.02525996976,799.0285034,0.02755000815,799.0285034,0.006989763584,799.0285034,0.1587882191,799.0285034,0.3092350066,799.0285034,0.112826772,799.0285034,0.2409513444,
798.0564575,0.000510823389,798.0564575,0.02071735077,798.0564575,0.01613338664,798.0564575,0.004566941876,798.0564575,0.004532124847,798.0564575,0.004350786563,798.0564575,0.005301103927,798.0564575,0.01142417733,798.0564575,0.1379118413,798.0564575,0.2608008087,798.0564575,0.01959067397,798.0564575,0.02584272064,798.0564575,0.03507004306,798.0564575,0.007077844813,798.0564575,0.160780862,798.0564575,0.2666292191,798.0564575,0.1166725457,798.0564575,0.2378261685,
796.9451294,0.001996871317,796.9451294,0.02119889297,796.9451294,0.01688786596,796.9451294,0.004710712936,796.9451294,0.003581633558,796.9451294,0.005563877057,796.9451294,0.006441262551,796.9451294,0.0110837929,796.9451294,0.1398044974,796.9451294,0.2405233979,796.9451294,0.02059790492,796.9451294,0.02586843632,796.9451294,0.03570495546,796.9451294,0.007949596271,796.9451294,0.1631429493,796.9451294,0.3067295849,796.9451294,0.1167574152,796.9451294,0.2321965992,
795.9723511,-0.001027337043,795.9723511,0.0191036351,795.9723511,0.01548479684,795.9723511,0.003289460437,795.9723511,0.002833069069,795.9723511,0.003298380878,795.9723511,0.004797887988,795.9723511,0.009779745713,795.9723511,0.1366886199,795.9723511,0.2583481669,795.9723511,0.01875272207,795.9723511,0.02564128116,795.9723511,0.03340547904,795.9723511,0.006063676905,795.9723511,0.1607962251,795.9723511,0.2938495874,795.9723511,0.119020842,795.9723511,0.2188418061,
794.9991455,0.00176961883,794.9991455,0.02071507089,794.9991455,0.01642637514,794.9991455,0.006114604417,794.9991455,0.004124285188,794.9991455,0.004596948158,794.9991455,0.004942127969,794.9991455,0.01167337131,794.9991455,0.1402170807,794.9991455,0.246254012,794.9991455,0.01994231902,794.9991455,0.02622641437,794.9991455,0.03684441,794.9991455,0.008474032395,794.9991455,0.1656752974,794.9991455,0.3095972538,794.9991455,0.1204042137,794.9991455,0.2443021238,
794.0255737,-5.425359996E-5,794.0255737,0.01984990947,794.0255737,0.01412312035,794.0255737,0.00364725478,794.0255737,0.003763486631,794.0255737,0.003371837549,794.0255737,0.005150038749,794.0255737,0.01208839286,794.0255737,0.142360121,794.0255737,0.2436303347,794.0255737,0.01810871065,794.0255737,0.02461224422,794.0255737,0.0342171751,794.0255737,0.006681014784,794.0255737,0.1629935056,794.0255737,0.3177573979,794.0255737,0.1195928454,794.0255737,0.2404058725,
793.0516357,-0.001495907665,793.0516357,0.02027827501,793.0516357,0.01392690837,793.0516357,0.002177229384,793.0516357,0.001275071292,793.0516357,0.003153355792,793.0516357,0.002928338014,793.0516357,0.01099545322,793.0516357,0.1392669082,793.0516357,0.2554199696,793.0516357,0.01724761911,793.0516357,0.02361857519,793.0516357,0.0334716551,793.0516357,0.00724179484,793.0516357,0.161587134,793.0516357,0.3410670757,793.0516357,0.1187821999,793.0516357,0.2205240577,
791.9381104,-0.0009513537516,791.9381104,0.01936404221,791.9381104,0.01404902618,791.9381104,0.002756551141,791.9381104,0.003447707277,791.9381104,0.004057102371,791.9381104,0.002979681361,791.9381104,0.01165146101,791.9381104,0.1427138299,791.9381104,0.2553153038,791.9381104,0.01857366972,791.9381104,0.0249658972,791.9381104,0.03425756469,791.9381104,0.007333929185,791.9381104,0.1662352979,791.9381104,0.5385926366,791.9381104,0.1210608482,791.9381104,0.2197100818,
790.9633789,-0.00209125434,790.9633789,0.01900245249,790.9633789,0.0145036336,790.9633789,0.001860521152,790.9633789,0.001976743806,790.9633789,0.003299293807,790.9633789,0.004564404488,790.9633789,0.01265585702,790.9633789,0.144815281,790.9633789,0.2485487163,790.9633789,0.01696247421,790.9633789,0.02368398756,790.9633789,0.03271451965,790.9633789,0.007903989404,790.9633789,0.1628720164,790.9633789,0.4622584581,790.9633789,0.1190148517,790.9633789,0.2103829831,
789.9882202,-0.0009704154218,789.9882202,0.01946926117,789.9882202,0.01404039003,789.9882202,0.003541806247,789.9882202,0.003106032964,789.9882202,0.003495876445,789.9882202,0.003329525469,789.9882202,0.01368437894,789.9882202,0.1454205811,789.9882202,0.2557559013,789.9882202,0.02011529356,789.9882202,0.02490752935,789.9882202,0.0319913812,789.9882202,0.006781917065,789.9882202,0.1659463793,789.9882202,0.402036041,789.9882202,0.1210047528,789.9882202,0.231812194,
