baseline,,bm3,,bm3_lauric10mM_ul_50,,bm3_lauric10mM_ul_100,,bm3_lauric10mM_ul_150,,bm3_lauric10mM_ul_200,,bm3_lauric10mM_ul_250,,bm3_lauric10mM_ul_300,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0001221,-0.001327988575,800.0001221,0.00193308515,800.0001221,0.002083685715,800.0001221,0.0009727183497,800.0001221,0.003224805929,800.0001221,0.001501311897,800.0001221,0.003541414859,800.0001221,0.001102302107,
799.0285034,-0.001189744682,799.0285034,0.001407576026,799.0285034,0.001276914612,799.0285034,0.002004439011,799.0285034,0.001766707748,799.0285034,0.001231509144,799.0285034,0.003276080126,799.0285034,0.002174627734,
798.0564575,0.0001011482527,798.0564575,0.003522102721,798.0564575,0.004549598321,798.0564575,0.002618816448,798.0564575,0.002878433792,798.0564575,0.002990341745,798.0564575,0.004484755918,798.0564575,0.002534290543,
796.9451294,-0.0001777484576,796.9451294,0.003766593756,796.9451294,0.004150837194,796.9451294,0.003136642277,796.9451294,0.005223075859,796.9451294,0.002667127876,796.9451294,0.004860185552,796.9451294,0.003590220818,
795.9723511,0.0002270793048,795.9723511,0.003300858662,795.9723511,0.004502803087,795.9723511,0.004439353943,795.9723511,0.003018362448,795.9723511,0.002897951752,795.9723511,0.004651890602,795.9723511,0.003069273196,
794.9991455,0.00306658796,794.9991455,0.003710823366,794.9991455,0.005908829626,794.9991455,0.005878943019,794.9991455,0.00517743919,794.9991455,0.003696751315,794.9991455,0.007226107642,794.9991455,0.005129030906,
794.0255737,-0.0008064787835,794.0255737,0.003353654873,794.0255737,0.003309727181,794.0255737,0.00440425938,794.0255737,0.002335435944,794.0255737,0.004248852842,794.0255737,0.003777273465,794.0255737,0.002944235457,
793.0516357,0.0009803200373,793.0516357,0.003116800683,793.0516357,0.002827310935,793.0516357,0.0009747160366,793.0516357,0.002433537273,793.0516357,0.002215032466,793.0516357,0.002915750723,793.0516357,0.003664484015,
791.9381104,0.0009673220338,791.9381104,0.002620405052,791.9381104,0.004394348711,791.9381104,0.003228587331,791.9381104,0.002884818241,791.9381104,0.00391025655,791.9381104,0.005155277438,791.9381104,0.00348567334,
790.9633789,-0.001005488681,790.9633789,0.002343998291,790.9633789,0.003107023658,790.9633789,0.002034814795,790.9633789,0.00342067657,790.9633789,0.002380800666,790.9633789,0.004871441983,790.9633789,0.003088930156,
789.9882202,-0.000334628392,789.9882202,0.002255909145,789.9882202,0.003854154376,789.9882202,0.003403013572,789.9882202,0.003207907081,789.9882202,0.003286121879,789.9882202,0.004628735129,789.9882202,0.003068699734,
789.0127563,-0.0002870322787,789.0127563,0.003709048033,789.0127563,0.002755118301,789.0127563,0.002395741176,789.0127563,0.002710678149,789.0127563,0.003253519768,789.0127563,0.003479384584,789.0127563,0.002653819043,
788.0368652,0.002190836007,788.0368652,0.004749992862,788.0368652,0.004225013312,788.0368652,0.003652371233,788.0368652,0.003605959704,788.0368652,0.004224490374,788.0368652,0.005162271671,788.0368652,0.004799249116,
787.0606689,-0.0009924204787,787.0606689,0.003269272856,787.0606689,0.003873846726,787.0606689,0.003150461474,787.0606689,0.003766541602,787.0606689,0.003372724634,787.0606689,0.005749919917,787.0606689,0.002928624628,
785.944458,0.000511160295,785.944458,0.003157527652,785.944458,0.004505575635,785.944458,0.002611993346,785.944458,0.003139510285,785.944458,0.002451317152,785.944458,0.004170490894,785.944458,0.001646929537,
784.9674683,0.001323025906,784.9674683,0.003578084055,784.9674683,0.005049986299,784.9674683,0.004567229655,784.9674683,0.002884010319,784.9674683,0.003451099386,784.9674683,0.005351575557,784.9674683,0.003950483631,
783.9900513,-0.0006287290016,783.9900513,0.001533938455,783.9900513,0.00125009648,783.9900513,0.002634702716,783.9900513,0.000935568125,783.9900513,0.000740374031,783.9900513,0.002920832485,783.9900513,0.001756181358,
783.0122681,0.0004455706803,783.0122681,0.004253479652,783.0122681,0.002466676524,783.0122681,0.002877938794,783.0122681,0.001367583987,783.0122681,0.002764991717,783.0122681,0.00352959265,783.0122681,0.00139339664,
782.0341187,0.0006944282795,782.0341187,0.003610240528,782.0341187,0.003743224777,782.0341187,0.003749647876,782.0341187,0.001362702111,782.0341187,0.004256904125,782.0341187,0.003772024997,782.0341187,0.003943952732,
781.055603,-0.0009170511039,781.055603,0.002292209538,781.055603,0.002275060862,781.055603,0.002442413941,781.055603,0.002117942786,781.055603,0.002886251314,781.055603,0.003579310607,781.055603,0.002223072108,
779.9368896,-0.0001340168674,779.9368896,0.002470763866,779.9368896,0.003639997914,779.9368896,0.004033900797,779.9368896,0.001802473562,779.9368896,0.002971575595,779.9368896,0.004148537293,779.9368896,0.002071903087,
778.9575806,-0.0006792857894,778.9575806,0.003358819988,778.9575806,0.003140787827,778.9575806,0.003009838751,778.9575806,0.002835257677,778.9575806,0.002605170244,778.9575806,0.003632975975,778.9575806,0.002795029897,
777.9779053,0.0001702076988,777.9779053,0.003432495752,777.9779053,0.003672132967,777.9779053,0.002801048104,777.9779053,0.001188340597,777.9779053,0.001935815322,777.9779053,0.004421570804,777.9779053,0.002913014265,
776.9978638,0.0002485764271,776.9978638,0.003240401391,776.9978638,0.004579551052,776.9978638,0.002978247823,776.9978638,0.002117084339,776.9978638,0.002834007144,776.9978638,0.005049252883,776.9978638,0.002568453085,
776.0174561,-0.0005451268516,776.0174561,0.002354981378,776.0174561,0.004836207721,776.0174561,0.001884257188,776.0174561,0.003089451464,776.0174561,0.002925575478,776.0174561,0.004123710096,776.0174561,0.002591654891,
775.0366821,0.001030629268,775.0366821,0.004752845503,775.0366821,0.003922846634,775.0366821,0.003931414336,775.0366821,0.001940391609,775.0366821,0.00402810052,775.0366821,0.005974462256,775.0366821,0.0046466575,
774.055542,-0.0005886619911,774.055542,0.00361679215,774.055542,0.00329798949,774.055542,0.003897170769,774.055542,0.002342384774,774.055542,0.002581551205,774.055542,0.003804744454,774.055542,0.003615983063,
772.9338379,-0.001585465507,772.9338379,0.0007291723741,772.9338379,0.002712839982,772.9338379,0.002734096022,772.9338379,-0.0002701654739,772.9338379,0.002491408959,772.9338379,0.002462198725,772.9338379,0.001479700673,
771.9519043,0.0004489911662,771.9519043,0.004192184191,771.9519043,0.002822855487,771.9519043,0.00379918213,771.9519043,0.0009006258915,771.9519043,0.003783671185,771.9519043,0.003662734991,771.9519043,0.003345150733,
770.9696045,-0.001112757018,770.9696045,0.002352613024,770.9696045,0.002210661303,770.9696045,0.002385667991,770.9696045,0.001570022781,770.9696045,0.003020630218,770.9696045,0.003490631236,770.9696045,0.003785629524,
769.9869385,-0.0004401489859,769.9869385,0.002509972313,769.9869385,0.002736961469,769.9869385,0.002682286547,769.9869385,0.001004397171,769.9869385,0.002134174807,769.9869385,0.003382220631,769.9869385,0.002457799157,
