baseline,,bm3,,bm4,,bm53_palmOH_ul_5,,bm53_palmOH_ul_10,,bm53_palmOH_ul_20,,bm53_palmOH_ul_30,,bm53_palmOH_ul_40,,bm53_palmOH_ul_50,,bm53_palmOH_ul_50,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0001221,0.0001583474514,800.0001221,-0.02013164759,800.0001221,-0.01800748333,800.0001221,-0.01962487586,800.0001221,-0.01825685054,800.0001221,-0.0194125846,800.0001221,-0.01960384473,800.0001221,-0.02047028765,800.0001221,0.0045480025,800.0001221,0.04393456131,
799.0285034,-0.000699651544,799.0285034,-0.02020676993,799.0285034,-0.01968014613,799.0285034,-0.02081655897,799.0285034,-0.02022876032,799.0285034,-0.01929959096,799.0285034,-0.01829308644,799.0285034,-0.02209813334,799.0285034,0.003438992659,799.0285034,0.04118912667,
798.0564575,0.0004352317192,798.0564575,-0.01953000389,798.0564575,-0.01670942828,798.0564575,-0.01656872034,798.0564575,-0.01627863944,798.0564575,-0.01714193076,798.0564575,-0.01686642691,798.0564575,-0.01781373098,798.0564575,0.005772898905,798.0564575,0.04127352312,
796.9451294,-0.001230995287,796.9451294,-0.02020864747,796.9451294,-0.01643708907,796.9451294,-0.01917745359,796.9451294,-0.02007381432,796.9451294,-0.01807041094,796.9451294,-0.01723722741,796.9451294,-0.02052431554,796.9451294,0.004978104029,796.9451294,0.04040535912,
795.9723511,-0.0002906021837,795.9723511,-0.01874464378,795.9723511,-0.01561519783,795.9723511,-0.01802581176,795.9723511,-0.01843353547,795.9723511,-0.01798632368,795.9723511,-0.01775861904,795.9723511,-0.0196593646,795.9723511,0.00548430765,795.9723511,0.03956586123,
794.9991455,0.000282248744,794.9991455,-0.01788607612,794.9991455,-0.01548797265,794.9991455,-0.01760577224,794.9991455,-0.01824290119,794.9991455,-0.01752786152,794.9991455,-0.01800599322,794.9991455,-0.01779529452,794.9991455,0.005153155886,794.9991455,0.03798864409,
794.0255737,-0.0002074006188,794.0255737,-0.02016367577,794.0255737,-0.01756202057,794.0255737,-0.01961042546,794.0255737,-0.01928592287,794.0255737,-0.01969380118,794.0255737,-0.01785924658,794.0255737,-0.02158202603,794.0255737,0.002209802624,794.0255737,0.03548784927,
793.0516357,-0.001010653912,793.0516357,-0.01926735044,793.0516357,-0.0178083647,793.0516357,-0.01849773899,793.0516357,-0.01995852031,793.0516357,-0.01872104034,793.0516357,-0.01801726781,793.0516357,-0.02046327479,793.0516357,0.002621837426,793.0516357,0.03379295021,
791.9381104,-0.000776660745,791.9381104,-0.02021892741,791.9381104,-0.01675451174,791.9381104,-0.01756033115,791.9381104,-0.01902039722,791.9381104,-0.01863301359,791.9381104,-0.01755998284,791.9381104,-0.01998863183,791.9381104,0.002213367261,791.9381104,0.03249159083,
