,vmax,Km,R^2
7.09 µM BM3 protein and dmso,0.00407771186222243,92681.3747228984,-inf
7.09 µM BM3 arachadnic acid 1,1.059061697434871,59.72244599356693,0.9410090503859118
7.09 µM BM3 arachadnic acid 2,1.1272518922952801,75.4688603485347,0.9753023505572702
7.09 µM BM3 arachadnic acid 3,1.12753346774276,68.02241851488324,0.9738198026981045
7.09 µM BM3 arachadnic acid 4,1.0307615116049749,54.83234774950683,0.9359394489938166
7.09 µM BM3 Lauric Acid 1,0.8976529318434154,70.56450516128653,0.8473817715984535
7.09 µM BM3 Lauric Acid 2,0.5897663894339766,33.22085048241682,0.28221507724011285
7.09 µM BM3 Lauric Acid 3,0.8873502861542379,19.58014248669419,0.7069967889523485
7.09 µM BM3 Lauric Acid 4,0.9075912613873429,41.136003529595015,0.7950321226179022
7.09 µM BM3 Palmitic acid 1,0.744721381700242,2.4363539947325283,0.04472623055153757
7.09 µM BM3 Palmitic acid 2,0.7183866949716935,4.996573647177846,0.11008992347001334
7.09 µM BM3 Lauric acid 3,0.6678608953072636,4.634488681950514,0.10523406988558592
7.09 µM BM3 Palmitic acid 4,0.6291261682329011,2.326227880566676,0.03530633590309151
7.09 µM BM3 4-Phenylimidazole 1,0.7411147717281605,5.231523061313246,0.18887807710951854
7.09 µM BM3 4-Phenylimidazole 2,0.7112691258963749,0.641598233098289,0.004383397607071293
7.09 µM BM3 4-Phenylimidazole 3,0.5190878791345229,1.6339336706578325,0.016060680611698852
7.09 µM BM3 4-Phenylimidazole 4,0.592650938065667,2.6091044266054566,0.04039492205303363
14.09 µM BM3 7.09 µM BM3 protein and dmso,0.00407771186222243,92681.3747228984,-inf
14.09 µM BM3 7.09 µM BM3 arachadnic acid 1,1.1973010028424471,116.38454841543596,0.9747810186861144
14.09 µM BM3 7.09 µM BM3 arachadnic acid 2,1.218554718861655,143.4661737651547,0.9694276831853127
14.09 µM BM3 7.09 µM BM3 arachadnic acid 3,1.1735723478040998,104.66842265684426,0.9741434363740435
14.09 µM BM3 7.09 µM BM3 arachadnic acid 4,1.1794911411350522,102.81584081200745,0.9743064269832002
14.09 µM BM3 7.09 µM BM3 Lauric Acid 1,1.1456548871894097,161.83366197655164,0.9677200014267249
14.09 µM BM3 7.09 µM BM3 Lauric Acid 2,1.2926026942268143,230.190424197845,0.9784064311643339
14.09 µM BM3 7.09 µM BM3 Lauric Acid 3,1.3484055609890178,322.1251226771238,0.9878679910643451
14.09 µM BM3 7.09 µM BM3 Lauric Acid 4,1.2563541582116664,226.23553173657987,0.9791458599200675
14.09 µM BM3 7.09 µM BM3 Palmitic acid 1,6935248.236532386,7725512188.26399,0.4524593501597488
14.09 µM BM3 7.09 µM BM3 Palmitic acid 2,0.7678429651378436,6.4968415033654505,0.2129447348047745
14.09 µM BM3 7.09 µM BM3 Lauric acid 3,0.6749999992597443,1.0870332477628039e-16,0.0
14.09 µM BM3 7.09 µM BM3 Palmitic acid 4,0.7311475194057723,11.61781722072931,0.3090936800683902
14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 1,0.4833333333335166,1.317866736858898e-22,-2.220446049250313e-16
14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 2,0.5250000022690264,8.093752101718777e-12,-2.3714363805993344e-13
14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 3,0.6782665082218667,6.489030226193184,0.19003437340684726
14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 4,0.3854166666666703,9.301629845212154e-17,0.0
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 protein and dmso,0.00407771186222243,92681.3747228984,-inf
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 arachadnic acid 1,1.1788713884499689,124.26584892500851,0.9807719688201664
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 arachadnic acid 2,1.1157788139972942,95.89244654734031,0.9885093646793142
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 arachadnic acid 3,1.186127759428104,134.96248638566794,0.9860260199317755
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 arachadnic acid 4,1.1657545925272867,129.1881008455574,0.9833677782704121
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Lauric Acid 1,1.0990050372559381,128.7218933662626,0.9163606367031437
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Lauric Acid 2,1.1615904205807195,195.75086961693503,0.8936336170283972
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Lauric Acid 3,1.1018820184055766,119.25051354324498,0.9255154008022385
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Lauric Acid 4,1.1544575247224365,161.34885311784524,0.8776413382161281
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Palmitic acid 1,0.6198097444679233,2.85182091496818,0.04283880665024076
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Palmitic acid 2,0.7446606995142696,5.2110572804011515,0.1879134245957116
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Lauric acid 3,0.7911168410879119,6.357700721981335,0.23840118356268214
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 Palmitic acid 4,0.8793935527054735,23.23009666258569,0.5221603351403206
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 1,0.648556946857024,5.83968328696009,0.14271362288875566
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 2,0.6509793837953252,4.879789446496741,0.135172899026895
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 3,0.6861345314722205,6.397710643557104,0.17410817637157805
27.56 µM BM3 14.09 µM BM3 7.09 µM BM3 4-Phenylimidazole 4,0.685776347789428,5.780085240249479,0.16238564972865832
