,WellLetter,320
48,A7,0.723
49,B7,0.585
80,A9,0.43400000000000005
51,D7,0.42400000000000004
50,C7,0.385
81,B9,0.3640000000000001
82,C9,0.32499999999999996
83,D9,0.26
52,E7,0.241
53,F7,0.23799999999999993
84,E9,0.21499999999999997
85,F9,0.188
55,H7,0.16999999999999998
54,G7,0.16500000000000004
87,H9,0.13799999999999996
89,J9,0.133
56,I7,0.132
58,K7,0.124
57,J7,0.11699999999999999
94,O9,0.11399999999999999
86,G9,0.11299999999999999
91,L9,0.10999999999999996
19,D5,0.10700000000000004
41,J6,0.10099999999999995
23,H5,0.1
43,L6,0.09000000000000002
26,K5,0.09
22,G5,0.086
93,N9,0.08500000000000002
42,K6,0.08199999999999999
59,L7,0.08000000000000002
73,J8,0.08000000000000002
90,K9,0.07999999999999999
61,N7,0.07899999999999999
63,P7,0.07800000000000001
18,C5,0.07799999999999999
31,P5,0.07799999999999999
88,I9,0.07700000000000001
39,H6,0.07599999999999998
95,P9,0.07499999999999998
32,A6,0.07499999999999998
34,C6,0.07499999999999998
21,F5,0.07399999999999998
25,J5,0.07399999999999998
35,D6,0.07299999999999998
60,M7,0.07199999999999998
29,N5,0.07100000000000001
65,B8,0.07099999999999998
37,F6,0.06899999999999998
20,E5,0.068
16,A5,0.068
62,O7,0.067
79,P8,0.066
33,B6,0.06599999999999998
36,E6,0.06599999999999998
78,O8,0.065
77,N8,0.065
69,F8,0.065
38,G6,0.065
27,L5,0.06499999999999997
45,N6,0.063
30,O5,0.063
47,P6,0.062
46,O6,0.062
67,D8,0.061
17,B5,0.061
24,I5,0.06
44,M6,0.06
92,M9,0.059
75,L8,0.057999999999999996
40,I6,0.057999999999999996
71,H8,0.05799999999999997
70,G8,0.055999999999999994
28,M5,0.055999999999999994
64,A8,0.05399999999999999
76,M8,0.05100000000000002
66,C8,0.05099999999999999
68,E8,0.049000000000000016
74,K8,0.04899999999999999
72,I8,0.04899999999999999
2,C4,0.010000000000000009
5,F4,0.0069999999999999785
4,E4,0.0020000000000000018
0,A4,0.0010000000000000009
12,M4,0.0010000000000000009
15,P4,0.0010000000000000009
8,I4,0.0
14,O4,-0.0010000000000000009
1,B4,-0.0010000000000000286
11,L4,-0.0020000000000000018
9,J4,-0.0020000000000000018
6,G4,-0.0020000000000000018
13,N4,-0.0020000000000000018
3,D4,-0.0020000000000000018
7,H4,-0.0030000000000000027
10,K4,-0.007000000000000006
